,Park Facility Name,SIGNNAME
0,Ruppert Park,Ruppert Park
82,Prospect Park,Prospect Park
1012,Tappen Park,Tappen Park
1038,Boerum Park,Boerum Park
1073,Forest Park - Sobelsohn Park,Forest Park
1111,Tompkins Square Park,Tompkins Square Park
1514,Central Park,Central Park
4001,Pelham Bay Park,Pelham Bay Park
4260,Park Slope Playground,Park Slope Playground
4354,Macneil Park,Macneil Park
4462,Van Cortlandt Classic Playground,
4522,Carroll Park,Carroll Park
4597,Star Spangled Playground,Star Spangled Playground
4615,Captain Rivera Playground,Captain Rivera Playground
4624,Kissena Park,Kissena Park
4825,Golf Course - Clearview Park,
4835,Lyons Square Playground,Lyons Square Playground
4846,Astoria Park,Astoria Park
5189,Jesse Owens Playground,Jesse Owens Playground
5214,John Jay Park,John Jay Park
5410,Randall's Island Park,Randall's Island Park
5435,Harlem River Park,Harlem River Park
5995,Recreation Center - Thomas Jefferson,
6030,Clason Point Park,
6037,Fermi Playground,Fermi Playground
6042,Central Park - Belvedere Castle Turtle Pond and Shakespeare Garden,
6109,Abingdon Square,Abingdon Square
6137,Recreation Center - Brownsville,
6207,Brooklyn Bridge Park,Brooklyn Bridge Park
6357,St James Park,
6416,Recreation Center - Asser Levy,
6522,Recreation Center - Hamilton Fish,
6555,Jamie Campiz Playground,
6608,Drumgoole Tot Lot Playground,
6611,Carl Schurz Park,Carl Schurz Park
6802,Pelham Bay Park - Playground For All Children,
6817,Cabbell Park,Cabbell Park
6824,Vesuvio Playground,Vesuvio Playground
6894,Happy Warrior Playground,Happy Warrior Playground
6936,St Nicholas Park,
7209,Beach - Manhattan,Manhattan Beach
7293,Colgate Close,Colgate Close
7304,Hudson River Park,Hudson River Park
7788,Prall's Island Bird Haven,
7789,Alley Pond Park,Alley Pond Park
8012,Orchard Beach Park - Nature Center,
8026,William Sheridan Playground,William Sheridan Playground
8060,Riverside Park,Riverside Park
10432,Silent Springs Playground,
10443,Staten Island Greenbelt,
10448,Van Cortlandt Park,Van Cortlandt Park
10810,Elmhurst Park,Elmhurst Park
10821,St Mary's Park,St Mary's Park
10881,Southern Fields,Southern Fields
10902,Hoffman Park,Hoffman Park
10945,Shore Road Park,
11036,Pomonok Playground - PS 201,
11048,Joyce Kilmer Park,Joyce Kilmer Park
11163,Decatur Playground,Decatur Playground
11191,Dimattina Playground,Dimattina Playground
11283,Riverside Park - Baseball Fields,
11320,Clawson Playground - PS 50,
11335,Irving Square Park,Irving Square Park
11384,Recreation Center - Roy Wilkins,
11474,Pool - Hansborough,
11508,Devoe Park,Devoe Park
11589,Recreation Center - Al Oerter,
11680,Coney Island Beach and Boardwalk,
11717,Alley Pond Park - Oakland Lake,
11788,Fort Tryon Park,Fort Tryon Park
12076,Rockaway Beach Boardwalk,Rockaway Beach Boardwalk
12830,Brookville Park,Brookville Park
12969,Flushing Meadows and Corona Park,
13082,Heckscher Playground,Heckscher Playground
13094,Kissena Park - 160 St Playground,
13147,Asphalt Green,Asphalt Green
13185,Columbus Park Playground,
13328,Theodore Roosevelt Park,Theodore Roosevelt Park
13406,James Madison Plaza,James Madison Plaza
13412,J Hood Wright Park,
13559,J J Byrne Memorial Park,
13657,Springfield Park,Springfield Park
13720,Hunter's Point Park,
13755,Woodtree Playground,Woodtree Playground
13789,Cloves Lake Park - WWII Veterans War Memorial Ice Skating Rink,
13931,Cooper Park,Cooper Park
14052,Astoria Park - Charybdis Playground,
14140,Staten Island Greenbelt Park - Amundsen Trail,
14153,Flushing Meadows Corona Park,Flushing Meadows Corona Park
14875,Willowbrook Park,Willowbrook Park
14983,Central Park - 79th Street Yard and Summit Rock,
15071,Alley Athletic Playground,Alley Athletic Playground
15075,Fort Totten Park,Fort Totten Park
15118,Beach - Orchard,
15288,Westerleigh Park,Westerleigh Park
15302,Mafera Park,Mafera Park
15335,ABC Playground,ABC Playground
15356,Morningside Park,Morningside Park
15786,Little Bay Park,Little Bay Park
15906,Washington Square Park,Washington Square Park
16267,Marine Park - Salt Marsh Nature Center,
16335,Crotona Park,Crotona Park
16550,Isham Park,Isham Park
16754,Soundview Park,Soundview Park
16891,Greenwood Playground,Greenwood Playground
16968,Forest Park,Forest Park
17367,Louis Pasteur Park,Louis Pasteur Park
17398,Haffen Park,Haffen Park
17449,Kissena Corridor East,
17519,Riverside Park - Claremont Playground,
17544,Poe Park,Poe Park
17584,Mercer Playground,Mercer Playground
17593,Recreation Center - Hansborough,
17653,Beach - Rockaway,
17721,West 186th St Basketball Court,
17726,Cadman Plaza Park,Cadman Plaza Park
17898,Riverside Park - River Run Playground,
18026,Mclaughlin Park,
18063,John Paul Jones Park,John Paul Jones Park
18087,Pool - Wagner,
18100,Sunset Park,Sunset Park
18420,Col David Marcus Playground,
18457,Playground One Twenty Five - PS 125,
18463,Equity Park,Equity Park
18481,Brower Park,Brower Park
18633,Dr Charles R Drew Memorial Park,
18676,Sternberg Park,Sternberg Park
18807,Thomas Jefferson Park,Thomas Jefferson Park
18996,North Pacific Playground,North Pacific Playground
19047,Ewen Park,Ewen Park
19162,Crispus Attucks Playground,Crispus Attucks Playground
19203,Ranaqua Park,Ranaqua Park
19229,Eastchester  Playground,
19240,Joseph C Sauer Playground,
19299,St Michaels Playground,
19375,City Hall Park,City Hall Park
19519,Bronx River Park,
19595,Union Square Park,Union Square Park
19869,Mckinley Playground,
19895,Frontera Park,Frontera Park
19918,Highbridge Park,Highbridge Park
20244,Northerleigh Park,Northerleigh Park
20271,Clinton Cherry Playground,
20275,Beach - Cedar Grove,
20301,Beach - Coney Island,
20412,Wagner Playground,Wagner Playground
20440,Corlears Hook Park,Corlears Hook Park
20518,Rainey Park - Queens,
20595,Marlboro Playground,Marlboro Playground
20600,Old Fort Number 4 Park,
20613,Leif Ericson Park,Leif Ericson Park
20717,Central Park - Ancient Playground,
20780,Bronx Park,Bronx Park
20979,Canarsie Park,Canarsie Park
21126,Gene Gray Playground,Gene Gray Playground
21164,Tanahey Playground,Tanahey Playground
21201,Rodney Playground South,Rodney Playground South
21213,Battery Park,Battery Park
21477,Veterans Grove,Veterans Grove
21502,Dodger Playground,Dodger Playground
21527,Marcus Garvey Park,Marcus Garvey Park
21720,Evergreen Pk - PS 68,
21766,Bleecker Playground,Bleecker Playground
21794,Father Macris Park,Father Macris Park
21814,Utopia Playground,Utopia Playground
21843,Saw Mill Playground,Saw Mill Playground
21872,Jackie Robinson Park,Jackie Robinson Park
21930,Mercer St. Playground,
21938,Edmonds Playground,Edmonds Playground
21974,Whitestone Playground - PS 193,
22000,Rufus King Park,Rufus King Park
22082,Riverside Park - Hippo Playground,
22171,Riverside Park - Over The Tracks Tennis Courts,
22199,Mccarren Park,
22547,101 Street Soccer Field,
22566,Prospect Park - Vanderbilt Playground,
22619,Baisley Park South,
22701,Ten Eyck Playground,Ten Eyck Playground
22705,Marconi Park,Marconi Park
22734,Highland Park,Highland Park
23082,Fresh Meadows Playground - PS 173,
23102,East River Park,
23427,Travers Park,Travers Park
23554,Paerdegat Park,Paerdegat Park
23596,Blue Heron Park - Nature Center,
23621,Allerton Playground,Allerton Playground
23632,Jamaica Bay Park,Jamaica Bay Park
23644,Franz Sigel Park,Franz Sigel Park
23761,Maple Playground,Maple Playground
23801,Hancock Playground,
23852,Bloomingdale Park,Bloomingdale Park
23990,Pool - St. Mary's,
23997,Central Park - 110th Street Playground,
24038,Cunningham Park,Cunningham Park
24200,Athens Square - PS 17,
24292,Yellowstone Municipal Park - Katzman Playground,
24319,D'Emic Playground,D'Emic Playground
24326,Geo Soilan Park - Battery Park City,
24453,Beach - South,
24579,Tremont Park,Tremont Park
24616,Linden Park Playground,
24619,Upper Highland Playground,
24639,Riverside Park - Riverbank Playground,
24658,Harold Schneiderman Playground - PS 232,
24677,Wallenberg Forest,
24681,Sol  Bloom Playground,
24726,Beach - Brighton,
25321,Recreation Center - Tony Dapolito,
25346,Fort Washington Park,Fort Washington Park
25428,Grover Cleveland Park,
25476,Liberty Park,
25557,Mckinley Park - Mckinley Park Playground,
25590,Washington Park,Washington Park
25636,Banneker Playground,Banneker Playground
25642,De Salvio Playground,
25645,Van Cortlandt Park - Southwest Playground,
25668,Yellowstone Municipal Park,
25698,Silver Lake Park,Silver Lake Park
25857,Inwood Hill Park,Inwood Hill Park
26150,Fort Greene Park,Fort Greene Park
26407,Howard Bennett Playground - PS 197,
26426,Commodore Barry Park,Commodore Barry Park
26507,Ferry Point Park,Ferry Point Park
26730,Damrosch Park,Damrosch Park
26737,Ehrenreich-Austin St Playground,
26758,Kossuth Playground,
26777,Juniper Valley Park,Juniper Valley Park
27043,Marine Park - PS 278 Playground,
27119,Hoover Manton Playground,
27212,Tecumseh Playground,Tecumseh Playground
27237,Jennifer's Playground,Jennifer's Playground
27271,St Nicholas North Playground,
27288,Grace Playground,Grace Playground
27311,Reiff Playground,Reiff Playground
27336,Monsignor Mcgolrick Park,
27481,Brooklyn Civic Center Parks,
27493,Williamsbridge Oval,Williamsbridge Oval
27698,Tribeca Dog Run,Tribeca Dog Run
27714,C C Moore Homestead Park,
27759,Flushing Meadows and Corona Park - Triassic Playground,
27782,Hickman Playground,Hickman Playground
27829,Inwood Hill Park - Indian Road Playground,
27985,Inwood Hill Park - The Clove,
28023,Inwood Hill Park - Nature Center,
28319,Samuel N. Bennerson 2nd Playground,Samuel N. Bennerson 2nd Playground
28325,Inwood Hill Park - Emerson Playground,
28421,Bayswater Park,Bayswater Park
28432,Joan of Arc Park,
28467,Bowne Park,Bowne Park
28600,Marine Park,Marine Park
29000,Fort Tryon Park - Jacob Javits Playground,
29083,Dyker Beach Park,Dyker Beach Park
29219,Recreation Center - St. John's,
29312,Albemarle Playground,Albemarle Playground
29363,College Point Park,College Point Park
29411,Brust Park,Brust Park
29449,Russell Pederson Playground,
29503,Highbridge Park - Quisqueya Playground,
29511,Parade Ground,Parade Ground
29550,Central Park - Adventure Playground,
29610,Beach Channel Playground - PS 183,
29639,Tall Oak Playground - PS 46,
29649,Sara D Roosevelt Park,
29829,Riverdale Park,Riverdale Park
29869,Herbert Von King Park,Herbert Von King Park
29974,Noonan Playground,
29997,Van Cortlandt Park - Allen Shandler Rec Area,
30013,Inwood Hill Park - Payson Playground,
30067,Jerome Slope,Jerome Slope
30074,Blue Heron Park Preserve,
30142,Underwood Park,Underwood Park
30207,Recreation Center - Alfred E. Smith,
30244,Madison Square Park,Madison Square Park
30353,Police Officer Reinaldo Salgado Playground,
30379,Merriam Playground - Lower,
30384,O'Donohue Park,
30388,Joseph Austin Playground,Joseph Austin Playground
30401,Bensonhurst Park,Bensonhurst Park
30499,Fordham Landing Playground,Fordham Landing Playground
30507,Stop and Go Playground,
30509,Pugsley Creek Park,Pugsley Creek Park
30538,Mccaffrey Playground,
30579,Pelham Bay Little League Park,
30583,Staten Island Greenbelt Park - Willowbrook Park Natural Area,
30598,Noble Playground,Noble Playground
30618,Bealin Square and Seth Low Playground,
30693,Marcy Playground,Marcy Playground
30727,Central Park - Cedar Hill,
30740,Gravesend Park,Gravesend Park
30799,Pat Williams Playground,Pat Williams Playground
30824,Pool - Lasker in Central Park,
30876,Forest Park - Victory Field,
30924,Central Park - Nutters Battery and Fort Clinton Site,
30926,Hamilton Metz Field,Hamilton Metz Field
30969,Fort Washington Park - Lily Brown Playground,
30995,Harding Park,Harding Park
31013,Babi Yar Triangle,
31027,Van Cortlandt Park - Golf House and Lower Putnam Trail,
31039,Dream Street Park,Dream Street Park
31066,Israel Putnam - PS 44,
31071,Real Good Park,Real Good Park
31080,Prospect Park - Lincoln Road Playground,
31125,Drew Playground,Drew Playground
31147,Sutton Place Park,Sutton Place Park
31234,Fresh Kills Park,
31245,Lower Highland Playground,
31261,Mullaly Park,Mullaly Park
31382,Wingate Park,Wingate Park
31435,Garibaldi Playground,Garibaldi Playground
31474,Rainey Park - Bronx,
31503,Sakura Park,Sakura Park
31537,River Park,
31542,Bryant Park,Bryant Park
31575,Bushwick Inlet Park,Bushwick Inlet Park
31599,Thomas Greene Playground,Thomas Greene Playground
31612,Digilio Playground,
31636,Shore Road Park - 79th Street Playground,
31684,Prospect Park - East Parade Grounds,
31722,Lincoln Terrace Park,
31796,Owl's Head Park,Owl's Head Park
31991,Fox Playground 2,
32010,Brighton Playground,Brighton Playground
32063,Loreto Park,
32083,Mcdonald Playground - Brooklyn,
32195,Rivington St Playground,
32206,Saint Nicholas Park - Arlington Ollie Edinboro Playground,
32221,Classon Playground,Classon Playground
32261,Nostrand Playground,Nostrand Playground
32289,Playground 70,
32313,Central Park - Park South,
32322,Marie Curie Park - JHS 158,
32355,Taylor Playground,Taylor Playground
32364,Horace Harding Playground - PS 206,
32393,Howard Von Dohlen Playground,Howard Von Dohlen Playground
32400,Galileo Playground,Galileo Playground
32414,Amersfort Park,Amersfort Park
32479,Recreation Center - Chelsea,
32598,May Matthews Playground,
32643,Rainbow Playground,Rainbow Playground
32665,Peter's Field,Peter's Field
32683,Betsy Head Park,Betsy Head Park
32721,John J Carty Park,John J Carty Park
32766,Asser Levy Park,Asser Levy Park
32829,Frederick B Judge Memorial Playground,
32843,Bath Beach Playground,
32969,Macombs Dam Park,Macombs Dam Park
33060,Carver Playground,Carver Playground
33111,Recreation Center - Owen Dolen Senior Center,
33133,West 87th Street Garden,
33136,Washington Hall Park,Washington Hall Park
33193,Baisley Pond Park - 157th St Playground,
33230,Webster Playground,Webster Playground
33249,Central Park - Diana Ross Playground,
33309,Starlight Park - Plimpton Playground,
33310,Ditmars Park,Ditmars Park
33365,Bennett Park,Bennett Park
33478,Pelham Bay Park - South Meadow,
33482,Beach - Midland,
33593,Bridge Park 3,Bridge Park 3
33599,Ralph Demarco Park,Ralph Demarco Park
33628,Joseph F Mafera Park,
33659,Riverside Park - Skate Park,
33720,Marion Hopkinson Playground,Marion Hopkinson Playground
33744,Sean's Place,Sean's Place
33784,Corona Golf Playground,Corona Golf Playground
33801,Midland Beach - Playland Playground,
33830,Cobble Hill Park,Cobble Hill Park
33875,Seaside Playground - PS 225,
33893,Staten Island Greenbelt - Southwest Latourette,
33916,Luiz Lopez Playground,
33927,Crowley Playground,Crowley Playground
33942,Central Park - West 68th Street Playground,
33946,Middle Village Playground,Middle Village Playground
33986,Yak Playground,Yak Playground
33990,De Witt Clinton Park,De Witt Clinton Park
34080,Ocean Parkway Malls,Ocean Parkway Malls
34104,Playground Of The Americas,
34111,Frederick Johnson Park,
34127,William McCray Playground,William McCray Playground
34170,Starr Playground,Starr Playground
34195,Fulton Park,Fulton Park
34279,MacDonald Park,MacDonald Park
34323,Recreation Center - Fort Hamilton Senior Center,
34337,Mount Hope Playground,Mount Hope Playground
34365,El Hajj Malik El Shabazz Playground,
34394,Central Park - Bendheim Playground,
34413,Forest Park - Greenhouse Playground,
34438,Mccarren Park - Vincent V Abate Playground,
34574,First Park,First Park
34632,Claremont Park,Claremont Park
34795,Frank D. O'Connor Playground,Frank D. O'Connor Playground
34822,Saint Marys Playground,
34828,Dutch Kills Playground - PS 112,
34876,Conch Playground - PS 105,
34879,High Rock Park,High Rock Park
34911,Long Island Mews,Long Island Mews
34919,Addabbo Playground,
34935,Big Bush Park,Big Bush Park
34967,Newtown Barge Terminal Playground,
34975,Nathan Weidenbaum - Little Bush Park,
34989,Frisch Field,
34998,Evergreen Playground,Evergreen Playground
35010,Central Park - Bernard Playground,
35019,79th Street Boat Basin Marina,
35035,Melrose Playground,Melrose Playground
35085,Bland Playground,Bland Playground
35095,South Oxford Park,South Oxford Park
35212,Marine Park - Doctor Johns Playground,
35257,Calvert Vaux,
35338,Stuyvesant Square,Stuyvesant Square
35421,Inwood Hill Park - Dyckman Fields,
35475,Linden Park - JHS 166,
35487,Eastern Parkway Malls,
35511,Central Park - East 96th Street Playground,
35580,Pelham Bay Park - The Meadow,
35584,University Woods,University Woods
35607,Brooklyn Bridge Park - Pier 1,
35670,Prospect Park - Imagination Playground,
35704,High Line Park,
35797,Peter Minuit Park,
35823,Jackie Robinson Park - Playground One Fifty Two Clii,
36007,Castlewood Playground - PS 186,
36024,Jacob Joffe Fields,Jacob Joffe Fields
36058,Prospect Park - Upper Long Meadow,
36063,Lewis Simeon Park,
36069,Robert Moses Playground,Robert Moses Playground
36101,Riverside Park - Dinosaur Playground,
36187,Corporal John A Seravalli Playground,
36236,Slope Park,Slope Park
36292,Flushing Meadows and Corona Park - Indoor Ice Hockey Rink,
36308,Captain Tilly Playground,
36342,Electric  Playground,
36358,Col Charles Young Playground,
36414,Wayanda Park - PS 34,
36420,Poor Richards Playground - IS 117,
36446,Randalls Island Park,
36627,Carlton Park,Carlton Park
36665,Brooklyn Heights Promenade,Brooklyn Heights Promenade
37095,Augustus Saint Gaudens,
37130,Maria Hernandez Park,Maria Hernandez Park
37217,Railroad Park Playground,
37225,Maurice Park,
37291,Mcarthur Park,
37301,Prospect Park - South West,
37311,Wards Island Park,Wards Island Park
37322,Rockaway Beach and Boardwalk - Beach 9th St Playground,
37334,Hellgate Field,
37346,Clove Lakes Park,Clove Lakes Park
37461,Grand Army Plaza,Grand Army Plaza
37521,Monsignor Mcgolrick Playground,
37536,Great Kills Veterans Playground - PS 8,
37588,Willoughby Playground,Willoughby Playground
37609,Prospect Park - Third Street Playground,
37621,Sunshine Playground,Sunshine Playground
37630,Recreation Center - Greenbelt,
37676,Fort Hamilton Athletic Field,Fort Hamilton Athletic Field
37704,Prospect Park - Litchfield Villa,
37740,Greencroft Playground - PS 53,
37774,Fort Independence Playground,Fort Independence Playground
37825,Triborough Bridge Playground B,Triborough Bridge Playground B
37839,Coney Island Creek Park,Coney Island Creek Park
37857,Hells Kitchen Park,
37894,Nathan Straus Playground - PS 140,
37927,Rudd Playground,Rudd Playground
37953,Newtown Playground,Newtown Playground
37976,Pool - Kosciusko,
38025,Recreation Center - Sunset Park,
38074,Hamilton Fish Park,Hamilton Fish Park
38098,Pool - Mullaly,
38115,Hart Playground - 37 Avenue,
38130,Marcus Garvey Park - Mount Morris East Playground,
38179,Alley Springfield,
38185,Pool - John Jay,
38217,Fort Tryon Park - Anne Loftus Playground,
38291,Sunners Playground,Sunners Playground
38303,Pontiac Playground,Pontiac Playground
38317,Springfield Park North,Springfield Park North
38340,Prospect Park - Grand Army Plaza,
38415,Pool - Haffen,
38429,Highbridge Park - Adventure Playground,
38559,Cunningham Park - 210th St Playground,
38585,Rodney Playground Center,Rodney Playground Center
38588,Crocheron Park,Crocheron Park
38686,Manhattan - Imagination Playground,
38752,Cherry Tree Playground,
38765,P. O. Serrano Playground,
38787,PS 1 Playground,
38790,Rockaway Park,
38811,William H Seward Park,
38924,Van Voorhees Playground,
38995,Pool - Thomas Jefferson,
39020,Pool - McCarren Park,
39049,Oakland Gardens - PS 203,
39071,Central Park - Pilgrim Hill and Conservatory Water,
39074,Little Flower Playground,Little Flower Playground
39091,Russell Sage Playground - JHS 190,
39138,American Playground,American Playground
39188,Pool - Douglas and Degraw,
39204,Anibal Aviles Playground,Anibal Aviles Playground
39227,Chelsea Park,Chelsea Park
39332,Pool - Sunset Park,
39393,South Beach Wetlands,South Beach Wetlands
39443,William E Kelly Memorial Park,
39464,Herman Dolgon Playground,Herman Dolgon Playground
39479,John Allen Payne Park,John Allen Payne Park
39496,London Planetree Playground,London Planetree Playground
39509,Scarangella Park,Scarangella Park
39527,Martinez Playground,Martinez Playground
39535,Fred Samuel Playground,Fred Samuel Playground
39550,North 5th Street Pier and Park,North 5th Street Pier and Park
39555,Sarsfield Playground,Sarsfield Playground
39586,Mother Cabrini Park,Mother Cabrini Park
39600,Pool - Highbridge,
39622,Albano Playground,
39641,Sherman Creek Park,
39678,Pool - Fred Douglas,
39682,Blake Hobbs Playground,Blake Hobbs Playground
39695,Sobel Green,
39711,Grand Ferry Park,Grand Ferry Park
39731,Poppenhusen Playground,Poppenhusen Playground
39765,Morton Playground,
39784,Central Park - Dana Discovery Nature Center,
39803,Red Hook Park - Bush Clinton Park Playground,
39822,Pool - PS 14 Playground,
39871,Eugene Mccabe Field,
39875,Almeda Playground - PS 42,
39884,Central Park - Mariners Gate Playground,
39905,Haggerty Park,Haggerty Park
39935,I Am Park,
39937,Marcy Park South,Marcy Park South
39953,Railroad Playground,Railroad Playground
39970,Pool - Red Hook Park,
40000,Grant Park,Grant Park
40053,Bushwick Playground,Bushwick Playground
40127,Stapleton Playground,Stapleton Playground
40165,Cedar Playground,Cedar Playground
40179,Prall Playground,Prall Playground
40182,Penn Triangle,Penn Triangle
40200,Booker T Washington Playground,
40215,Eugenio Maria De Hostos Playground,
40232,Saratoga Square Park,
40329,The Dust Bowl,
40338,Prospect Park - Harmony Playground,
40396,Frederick Douglass Playground,Frederick Douglass Playground
40522,Schenck Playground,Schenck Playground
40576,Phil Scooter Rizzuto Park,
40600,Pelham Bay Park - Bronx Victory Memorial Column,
40604,Highbridge Park - CPF Playground,
40609,Wolfes Pond Park,
40677,Holcombe Rucker Park,Holcombe Rucker Park
40694,Norelli-Hargreaves Playground,Norelli-Hargreaves Playground
40702,Van Cortlandt Park - Parade Ground North,
40721,Abigail Playground,Abigail Playground
40727,Reeds Basket Willow's Swamp,
40735,Roebling Playground,Roebling Playground
40748,Pool - Astoria Park,
40791,Mckinley Park,
40871,Patterson Playground,Patterson Playground
40916,Playground 62 - PS 220,
40924,Prospect Park - Park Side Avenue,
40929,Alice Austen House and Park,
40940,Pool - Glenwood Houses,
40945,Weeping Beech - Margaret I Carmen Green,
40976,Rodney Park Center,Rodney Park Center
40983,Clark Playground,Clark Playground
41016,Umma Park,Umma Park
41027,Gilbert Ramirez Park,Gilbert Ramirez Park
41045,Bulova Park,Bulova Park
41063,PS 198 Samuel Seabury Playground,
41127,Abyssinian Tot Lot,Abyssinian Tot Lot
41134,Shore Road Park - Vinland Playground,
41217,Washington Market Park,Washington Market Park
41256,Williamsbridge Oval - P G  Mini Pool and Courts,
41282,Brizzi Playground,Brizzi Playground
41302,Dyker Beach Park - Bay 8 Playground,
41343,Pulaski Playground,Pulaski Playground
41362,Seton Falls Park,Seton Falls Park
41411,Martin Luther King Jr Playground,
41443,Seton Park,Seton Park
41601,Pool - Commodore Barry,
41623,Pool - Hamilton Fish,
41656,Pool - Jackie Robinson Park,
41688,Parkside Playground - Bronx,
41690,Underhill Playground - Brooklyn,
41860,Spuyten Duyvil Shorefront Park and Half Moon Overlook,
41901,Crescent Beach,
41935,Toad Hall Playground,Toad Hall Playground
41945,Sledge Playground,Sledge Playground
41968,Cunningham Park - Upper Playground,
41974,Ramirez Playground,
41976,Rosemary's Playground - JHS 93,
42021,Paerdegat Basin Park,Paerdegat Basin Park
42022,Hoyt Playground,Hoyt Playground
42103,Power Playground,Power Playground
42125,Pelham Bay Park - Aileen Ryan Recreation Complex,
42149,Walter Ward Playground - PS 207,
42187,Mill Pond Park,Mill Pond Park
42218,Luna Park Playground,
42227,Strong Street Playground,
42254,Pool - Lyons,
42299,Caserta Playground,Caserta Playground
42315,PS 155 Playground,
42328,St Nicholas Playground South,
42344,Francis Lewis Park,Francis Lewis Park
42431,Pool - Sheltering Arms Park,
42443,Forest Park - Nature Center,
42458,Lt Federico Narvaez Tot Lot,
42504,Baisley Pond Park,Baisley Pond Park
42615,Recreation Center - West Bronx,
42619,Homecrest Playground,Homecrest Playground
42655,Millbrook Playground,Millbrook Playground
42661,Queensbridge Baby Park,
42667,Pool - Betsy Head Park,
42696,Lillian D Wald Playground,Lillian D Wald Playground
42723,Pool - Tottenville,
42739,Allison Park,
42762,Houston Playground,Houston Playground
42771,Rockaway Beach Playground,
42789,Veterans Park,Veterans Park
42831,Dean Playground,Dean Playground
42886,Aqueduct Walk - 227 Street Playground,
42897,McCarren Park Ice Skating Rink,
42906,Tot Lot One Hundred and Twelve,
42915,Richman Echo Park,
42962,Pool - Flushing Meadows and Corona Park,
43028,Tot Lot One Hundred And Ten,
43033,Van Cortlandt Park - Woodlawn Playground,
43052,Starlight Park,Starlight Park
43080,Ciccarone Park,Ciccarone Park
43142,Willets Point Playground - PS 209,
43171,Starlight Park - Jennie Jerome Playground,
43182,Merriam Playground - Upper,
43191,Recreation Center - Jackie Robinson,
43208,Coffey Park,Coffey Park
43257,Martins Field Playground,
43272,Harry Chapin Park,
43311,Socrates Sculpture Park,Socrates Sculpture Park
43335,Conference House Park,Conference House Park
43423,St Albans Park,
43478,Berry Playground,Berry Playground
43502,Nautilus Playground - Brooklyn,
43510,Dr Richard Green Playground,
43526,Farm Playground,Farm Playground
43532,Playground Eighty Nine LXXXIX,Playground Eighty Nine LXXXIX
43567,35 Playground,
43577,Kaiser Park,Kaiser Park
43649,Frank Golden Park,Frank Golden Park
43667,Pool - Fort Totten,
43686,Flynn Playground,Flynn Playground
43711,Henry Hudson Park,Henry Hudson Park
43856,Van Nest Park,Van Nest Park
43869,Flushing Meadows and Corona Park - Buzz Vollmer Playground,
43875,Gorman Playground,Gorman Playground
43911,Detective Keith L. Williams Park,
43943,Penn South Playground,Penn South Playground
43971,Ocean Hill Playground,Ocean Hill Playground
43982,Riverside Park - Neufeld Playgound,
44024,Locust Manor Playground  - PS 15,
44032,The Big Park - Grandview Playground,
44050,Jackie Robinson Park Playground - School,
44062,Martin Luther King Playground,Martin Luther King Playground
44088,Capt Rivera Playground,
44092,Vinmont Veteran Park,Vinmont Veteran Park
44151,Elijah Stroud Playground,
44172,Kissena Corridor West,
44204,Breininger Park,Breininger Park
44229,Mt Prospect Park,
44254,Recreation Center - Williamsbridge Oval,
44274,Jackie Robinson Playground,Jackie Robinson Playground
44294,Half Nelson Playground,
44308,St Catherine's Park,
44339,Riverbend Playground,Riverbend Playground
44346,Parkside Playground - Brooklyn,
44396,Hines Park,Hines Park
44415,Beach - Wolfe's Pond,
44441,Riverside Park - Classic Playground,
44483,M L King Houses Playground,
44486,Saul Weprin Playground - PS 162,
44493,Samuel Seabury Playground - PS 198,
44539,Bradhurst Urban Renewal Park,
44556,Taaffe Playground,Taaffe Playground
44626,Annunciation Park,Annunciation Park
44638,Lannett Playground - PS 197,
44648,Central Park - Conservatory Garden,
44673,Jacobs Ladder,
44681,Aqueduct Walk,Aqueduct Walk
44743,Kolbert Park,
44778,Fort 4 Playground,
44793,Playground Fifty-Two,
44795,Palmetto Playground,
44819,Recreation Center - Lost Battalion Hall,
44865,Bay Terrace Playground - PS 169,
44899,Parade Grounds Playground,
44912,Monsignor Kett,
44918,Admiral Farragut Playground,Admiral Farragut Playground
44930,Gonzalo Plasencia Playground,Gonzalo Plasencia Playground
44943,Arden Woods,Arden Woods
44967,Triborough Bridge Playground A,
44972,Pool - Asser Levy,
44990,Daniel M O'Connell Playground,
45015,Carter G Woodson Childrens Park,
45032,Kelly Playground,
45053,Ennis Park,
45069,Woods Playground,Woods Playground
45093,Challenge Playground - PS 187,
45134,Cpl Thompson Park,
45169,Tot Lot 116,
45180,St Andrew's Playground,
45216,Jerome Playground South,Jerome Playground South
45222,Carmansville Playground,Carmansville Playground
45244,St Vartan Park,
45347,Playground One Forty,Playground One Forty
45353,Hot Spot Tot Lot,Hot Spot Tot Lot
45364,Mount Playground - PS 174,
45381,Spirit Playground - PS 76,
45411,Hallets Cove Playground,Hallets Cove Playground
45416,Cooper Park - Carnegie Playground,
45432,Prospect Park - Lakeside Ice Skating Rink,
45463,Central Park - 110th Street and Lenox Avenue Playground,
45505,Alexander Hamilton Playground,Alexander Hamilton Playground
45560,Audubon Playground,Audubon Playground
45569,Pool - Claremont,
45579,Dubos Point Wildlife Sanctuary,Dubos Point Wildlife Sanctuary
45581,Bruckner Playground,Bruckner Playground
45599,Maclaughlin Playground,
45621,Surf Playground,Surf Playground
45625,Cunningham Park - Mclaughlin Playground,
45652,Highbridge Park - Sunken Playground,
45657,Railroad Park,Railroad Park
45667,Central Park - Spector Playground,
